Index,Premise,Original Word,Best Synonym
1482,The group of people is sitting on a rocky ledge and a scenic view is behind them,group,grouping
1482,The group of people is sitting on a rocky ledge and a scenic view is behind them,.,The grouping of people is sitting on a rocky ledge and a scenic view is behind them 
1483,A group of Asian girls are standing by themselves,group,grouping
1483,A group of Asian girls are standing by themselves,.,A grouping of Asian girls are standing by themselves 
1484,A group of Asian girls are standing together,group,grouping
1484,A group of Asian girls are standing together,.,A grouping of Asian girls are standing together 
1485,There is no girl laughing and there is no other girl watching,None,None
1486,A group of Asian girls are standing together,group,grouping
1486,A group of Asian girls are standing together,.,A grouping of Asian girls are standing together 
1487,Something is being celebrated by a cold cyclist,None,None
1488,A cold cyclist is celebrating,cyclist,wheeler
1488,A cold cyclist is celebrating,.,A cold wheeler is celebrating 
1489,A lone bicyclist is putting down a bike,bicyclist,cyclist
1489,A lone bicyclist is putting down a bike,.,A lone cyclist is putting down a bike 
1490,A cold cyclist is celebrating,cyclist,wheeler
1490,A cold cyclist is celebrating,.,A cold wheeler is celebrating 
1491,The crowd is watching two cars designed for racing that are leaving the starting line,crowd,bunch
1491,The crowd is watching two cars designed for racing that are leaving the starting line,.,The bunch is watching two cars designed for racing that are leaving the starting line 
1492,A big dog and a small white dog are walking past each other,dog,hound
1492,A big dog and a small white dog are walking past each other,.,A big hound and a small white dog are walking past each other 
1493,Two dogs are playing together on the grass,dogs,dog
1493,Two dogs are playing together on the grass,.,Two dog are playing together on the grass 
1494,Two dogs are cheerfully playing together on the grass,dogs,dog
1494,Two dogs are cheerfully playing together on the grass,.,Two dog are cheerfully playing together on the grass 
1495,A healthy looking dog is lying on the ground,dog,hound
1495,A healthy looking dog is lying on the ground,.,A healthy looking hound is lying on the ground 
1496,The malnourished looking dog is standing on its hind legs and is preparing to jump,dog,hound
1496,The malnourished looking dog is standing on its hind legs and is preparing to jump,.,The malnourished looking hound is standing on its hind legs and is preparing to jump 
1497,A brown dog is sitting down,dog,hound
1497,A brown dog is sitting down,.,A brown hound is sitting down 
1498,Two women are wearing bikinis on the sandy beach,women,woman
1498,Two women are wearing bikinis on the sandy beach,.,Two woman are wearing bikinis on the sandy beach 
1499,A dog with a golden coat is swimming clumsily through the water,dog,hound
1499,A dog with a golden coat is swimming clumsily through the water,.,A hound with a golden coat is swimming clumsily through the water 
1500,Many cheerleaders are walking in a parade,cheerleaders,cheerleader
1500,Many cheerleaders are walking in a parade,.,Many cheerleader are walking in a parade 
1501,There is no large group of cheerleaders walking in a parade,None,None
1502,A large group of cheerleaders is walking in a parade,group,grouping
1502,A large group of cheerleaders is walking in a parade,.,A large grouping of cheerleaders is walking in a parade 
1503,A shoeless woman is sitting on a blanket under a lavender umbrella,woman,fair_sex
1503,A shoeless woman is sitting on a blanket under a lavender umbrella,.,A shoeless fair_sex is sitting on a blanket under a lavender umbrella 
1504,A woman, who is shoeless, is sitting on a blanket under a lavender umbrella,woman,fair_sex
1504,A woman, who is shoeless, is sitting on a blanket under a lavender umbrella,.,A fair_sex , who is shoeless , is sitting on a blanket under a lavender umbrella 
1505,A shoeless woman is standing over a blanket near a lavender umbrella,woman,fair_sex
1505,A shoeless woman is standing over a blanket near a lavender umbrella,.,A shoeless fair_sex is standing over a blanket near a lavender umbrella 
1506,A shoeless woman is sitting on a blanket under a lavender umbrella,woman,fair_sex
1506,A shoeless woman is sitting on a blanket under a lavender umbrella,.,A shoeless fair_sex is sitting on a blanket under a lavender umbrella 
1507,A woman is playing with two young boys at a park,woman,fair_sex
1507,A woman is playing with two young boys at a park,.,A fair_sex is playing with two young boys at a park 
1508,There is no woman standing near three children,None,None
1509,A woman is standing near three children,woman,fair_sex
1509,A woman is standing near three children,.,A fair_sex is standing near three children 
1510,A tan dog is resting in the snow,dog,hound
1510,A tan dog is resting in the snow,.,A tan hound is resting in the snow 
1511,A yellow dog is running on white snow on a very sunny day,dog,hound
1511,A yellow dog is running on white snow on a very sunny day,.,A yellow hound is running on white snow on a very sunny day 
1512,A girl is wearing jeans and a pink shirt and is running,girl,daughter
1512,A girl is wearing jeans and a pink shirt and is running,.,A daughter is wearing jeans and a pink shirt and is running 
1513,The little girl in a pink shirt is running under a tree in the desert,girl,daughter
1513,The little girl in a pink shirt is running under a tree in the desert,.,The little daughter in a pink shirt is running under a tree in the desert 
1514,A girl is wearing jeans and a pink shirt and is running,girl,daughter
1514,A girl is wearing jeans and a pink shirt and is running,.,A daughter is wearing jeans and a pink shirt and is running 
1515,The white reindeer wearing dog ears is near a brown reindeer,reindeer,Rangifer_tarandus
1515,The white reindeer wearing dog ears is near a brown reindeer,.,The white Rangifer_tarandus wearing dog ears is near a brown reindeer 
1516,The white dog wearing reindeer ears is close to a brown dog,dog,hound
1516,The white dog wearing reindeer ears is close to a brown dog,.,The white hound wearing reindeer ears is close to a brown dog 
1517,A young child is walking with a bike on a rough dirt path,child,kid
1517,A young child is walking with a bike on a rough dirt path,.,A young kid is walking with a bike on a rough dirt path 
1518,A young child is riding a bike on a rough dirt path,child,kid
1518,A young child is riding a bike on a rough dirt path,.,A young kid is riding a bike on a rough dirt path 
1519,A young child is walking with a bike on a rough dirt path,child,kid
1519,A young child is walking with a bike on a rough dirt path,.,A young kid is walking with a bike on a rough dirt path 
1520,The woman in a red costume is not leaning against a brick wall and is not playing an instrument,woman,fair_sex
1520,The woman in a red costume is not leaning against a brick wall and is not playing an instrument,.,The fair_sex in a red costume is not leaning against a brick wall and is not playing an instrument 
1521,A woman in a red dress is putting away an instrument,woman,fair_sex
1521,A woman in a red dress is putting away an instrument,.,A fair_sex in a red dress is putting away an instrument 
1522,A woman in a red dress is playing an instrument,woman,fair_sex
1522,A woman in a red dress is playing an instrument,.,A fair_sex in a red dress is playing an instrument 
1523,A young gamer is playing with a child wearing a white coat,gamer,
1523,A young gamer is playing with a child wearing a white coat,.,A young gamer is playing with a child wearing a white coat
1524,The child is delightedly playing with toys outdoors,child,kid
1524,The child is delightedly playing with toys outdoors,.,The kid is delightedly playing with toys outdoors 
1525,A young child is wearing a white coat and playing a game,child,kid
1525,A young child is wearing a white coat and playing a game,.,A young kid is wearing a white coat and playing a game 
1526,There is no surfer leaning on a surfboard,None,None
1527,A surfer is leaning the surfboard against a wall,surfer,surfboarder
1527,A surfer is leaning the surfboard against a wall,.,A surfboarder is leaning the surfboard against a wall 
1528,The man is wearing a wetsuit and is riding a surfboard,man,human_being
1528,The man is wearing a wetsuit and is riding a surfboard,.,The human_being is wearing a wetsuit and is riding a surfboard 
1529,A waterfall is flowing out of a shallow pool,waterfall,falls
1529,A waterfall is flowing out of a shallow pool,.,A falls is flowing out of a shallow pool 
1530,A waterfall is flowing into a shallow pool,waterfall,falls
1530,A waterfall is flowing into a shallow pool,.,A falls is flowing into a shallow pool 
1531,The people are walking on the road beside a beautiful waterfall,people,mass
1531,The people are walking on the road beside a beautiful waterfall,.,The mass are walking on the road beside a beautiful waterfall 
1532,A sheepdog is grouping a herd of sheep,sheepdog,sheep_dog
1532,A sheepdog is grouping a herd of sheep,.,A sheep_dog is grouping a herd of sheep 
1533,The male, who is dark skinned, is standing on one hand in front of a yellow building,male,Male
1533,The male, who is dark skinned, is standing on one hand in front of a yellow building,.,The Male , who is dark skinned , is standing on one hand in front of a yellow building 
1534,The dark skinned male is not standing on one hand in front of a yellow building,male,Male
1534,The dark skinned male is not standing on one hand in front of a yellow building,.,The dark skinned Male is not standing on one hand in front of a yellow building 
1535,A bike rider in a black and red uniform is standing on a dirt bike,rider,passenger
1535,A bike rider in a black and red uniform is standing on a dirt bike,.,A bike passenger in a black and red uniform is standing on a dirt bike 
1536,A person is riding a bike,person,individual
1536,A person is riding a bike,.,A individual is riding a bike 
1537,A bike rider in a black and red uniform is jumping down off a dirt bike,rider,passenger
1537,A bike rider in a black and red uniform is jumping down off a dirt bike,.,A bike passenger in a black and red uniform is jumping down off a dirt bike 
1538,A bike is being ridden by a person,None,None
1539,There is no person riding a bike,None,None
1540,A man in a purple suit is standing by a purple case and is playing a guitar,man,human_being
1540,A man in a purple suit is standing by a purple case and is playing a guitar,.,A human_being in a purple suit is standing by a purple case and is playing a guitar 
1541,A man in a purple colored suit is standing by a purple case and is playing a guitar,man,human_being
1541,A man in a purple colored suit is standing by a purple case and is playing a guitar,.,A human_being in a purple colored suit is standing by a purple case and is playing a guitar 
1542,A couple is sitting on a patio and looking at the ocean,couple,pair
1542,A couple is sitting on a patio and looking at the ocean,.,A pair is sitting on a patio and looking at the ocean 
1543,Nobody is sitting in the chairs and watching the ocean,Nobody,nobody
1543,Nobody is sitting in the chairs and watching the ocean,.,nobody is sitting in the chairs and watching the ocean 
1544,A small boy in a yellow shirt is laughing on the beach,boy,son
1544,A small boy in a yellow shirt is laughing on the beach,.,A small son in a yellow shirt is laughing on the beach 
1545,Two men are riding an orange raft on the shore,men,man
1545,Two men are riding an orange raft on the shore,.,Two man are riding an orange raft on the shore 
1546,Two men are getting off of an orange raft on the shore,men,man
1546,Two men are getting off of an orange raft on the shore,.,Two man are getting off of an orange raft on the shore 
1547,Two men are riding an orange raft on the shore,men,man
1547,Two men are riding an orange raft on the shore,.,Two man are riding an orange raft on the shore 
1548,A dog with long hair and a red vest is sitting in the grass,dog,hound
1548,A dog with long hair and a red vest is sitting in the grass,.,A hound with long hair and a red vest is sitting in the grass 
1549,A blond boy is sliding down a sand dune on a skateboard,boy,son
1549,A blond boy is sliding down a sand dune on a skateboard,.,A blond son is sliding down a sand dune on a skateboard 
1550,An electronic man is held as a device,None,None
1551,The brown dog and the black dog are in the grass,dog,hound
1551,The brown dog and the black dog are in the grass,.,The brown hound and the black dog are in the grass 
1552,A brown dog and a black dog are far from the grass,dog,hound
1552,A brown dog and a black dog are far from the grass,.,A brown hound and a black dog are far from the grass 
1553,There is no little black dog chasing a little brown dog,None,None
1554,A little black dog is chasing a little brown dog,dog,hound
1554,A little black dog is chasing a little brown dog,.,A little black hound is chasing a little brown dog 
1555,A girl is surrounding brown dressed children who are closing the eyes,girl,daughter
1555,A girl is surrounding brown dressed children who are closing the eyes,.,A daughter is surrounding brown dressed children who are closing the eyes 
1556,A girl in a brown dress is being surrounded by children and is closing her eyes,None,None
1557,Several women are wearing pink bunny ears and are pointing to the right,women,woman
1557,Several women are wearing pink bunny ears and are pointing to the right,.,Several woman are wearing pink bunny ears and are pointing to the right 
1558,Women are wearing bunny ears and race numbers and are pointing at something in the distance,Women,woman
1558,Women are wearing bunny ears and race numbers and are pointing at something in the distance,.,woman are wearing bunny ears and race numbers and are pointing at something in the distance 
1559,Several women are taking off pink bunny ears and are pointing to the left,women,woman
1559,Several women are taking off pink bunny ears and are pointing to the left,.,Several woman are taking off pink bunny ears and are pointing to the left 
1560,Women are wearing bunny ears and race numbers and are pointing at something in the distance,Women,woman
1560,Women are wearing bunny ears and race numbers and are pointing at something in the distance,.,woman are wearing bunny ears and race numbers and are pointing at something in the distance 
1561,A small boy is standing in the forest,boy,son
1561,A small boy is standing in the forest,.,A small son is standing in the forest 
1562,A child, who looks young, is standing in front of some trees,child,kid
1562,A child, who looks young, is standing in front of some trees,.,A kid , who looks young , is standing in front of some trees 
1563,A small boy is standing in the forest,boy,son
1563,A small boy is standing in the forest,.,A small son is standing in the forest 
1564,Two young men are sitting outside near a golden statue,men,man
1564,Two young men are sitting outside near a golden statue,.,Two young man are sitting outside near a golden statue 
1565,Two young men are cheerfully playing outside near a golden statue,men,man
1565,Two young men are cheerfully playing outside near a golden statue,.,Two young man are cheerfully playing outside near a golden statue 
1566,Two people are looking at a gold statue,people,mass
1566,Two people are looking at a gold statue,.,Two mass are looking at a gold statue 
1567,The woman is wearing a blue helmet and is riding a bicycle in a parking lot,woman,fair_sex
1567,The woman is wearing a blue helmet and is riding a bicycle in a parking lot,.,The fair_sex is wearing a blue helmet and is riding a bicycle in a parking lot 
1568,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,woman,fair_sex
1568,A woman is wearing a blue helmet and is riding a bicycle in a parking lot,.,A fair_sex is wearing a blue helmet and is riding a bicycle in a parking lot 
1569,The tan dog is watching a brown dog that is swimming in a pond,dog,hound
1569,The tan dog is watching a brown dog that is swimming in a pond,.,The tan hound is watching a brown dog that is swimming in a pond 
1570,The tan dog is not watching a brown dog that is swimming in a pond,dog,hound
1570,The tan dog is not watching a brown dog that is swimming in a pond,.,The tan hound is not watching a brown dog that is swimming in a pond 
1571,The tan dog is watching a brown dog that is swimming in a pond,dog,hound
1571,The tan dog is watching a brown dog that is swimming in a pond,.,The tan hound is watching a brown dog that is swimming in a pond 
1572,A young girl is dancing,girl,daughter
1572,A young girl is dancing,.,A young daughter is dancing 
1573,A young girl is dancing,girl,daughter
1573,A young girl is dancing,.,A young daughter is dancing 
1574,A young girl is standing on one leg,girl,daughter
1574,A young girl is standing on one leg,.,A young daughter is standing on one leg 
1575,The small bee is landing on a bunch of yellow flowers,bee,
1575,The small bee is landing on a bunch of yellow flowers,.,The small bee is landing on a bunch of yellow flowers
1576,A small bee is landing on a bunch of yellow flowers,bee,
1576,A small bee is landing on a bunch of yellow flowers,.,A small bee is landing on a bunch of yellow flowers
1577,A bee is taking off from a yellow flower,bee,
1577,A bee is taking off from a yellow flower,.,A bee is taking off from a yellow flower
1578,Four people are walking across thick snow and the sun is setting,people,mass
1578,Four people are walking across thick snow and the sun is setting,.,Four mass are walking across thick snow and the sun is setting 
1579,Four people are difficultly walking with difficulty across thick snow and the sun is setting,people,mass
1579,Four people are difficultly walking with difficulty across thick snow and the sun is setting,.,Four mass are difficultly walking with difficulty across thick snow and the sun is setting 
1580,Some people are treading through the snow of the beautiful snowy landscape,people,mass
1580,Some people are treading through the snow of the beautiful snowy landscape,.,Some mass are treading through the snow of the beautiful snowy landscape 
1581,Four people are walking across thick snow and the sun is setting,people,mass
1581,Four people are walking across thick snow and the sun is setting,.,Four mass are walking across thick snow and the sun is setting 
1582,Some boys are kneeling next to each other in front of a ball,boys,boy
1582,Some boys are kneeling next to each other in front of a ball,.,Some boy are kneeling next to each other in front of a ball 
1583,The young kids are posing with a green soccer ball in a park,kids,child
1583,The young kids are posing with a green soccer ball in a park,.,The young child are posing with a green soccer ball in a park 
1584,Four boys are kneeling next to each other in front of a ball,boys,boy
1584,Four boys are kneeling next to each other in front of a ball,.,Four boy are kneeling next to each other in front of a ball 
1585,The young boys are posing with a green soccer ball in a park,boys,boy
1585,The young boys are posing with a green soccer ball in a park,.,The young boy are posing with a green soccer ball in a park 
1586,A white dog with beige spots is running through a field,dog,hound
1586,A white dog with beige spots is running through a field,.,A white hound with beige spots is running through a field 
1587,A horse and its rider are leaping over a barrier,horse,cavalry
1587,A horse and its rider are leaping over a barrier,.,A cavalry and its rider are leaping over a barrier 
1588,A horse with no rider is falling over a hurdle,horse,cavalry
1588,A horse with no rider is falling over a hurdle,.,A cavalry with no rider is falling over a hurdle 
1589,A horse is leaping a hurdle and has a rider on its back,horse,cavalry
1589,A horse is leaping a hurdle and has a rider on its back,.,A cavalry is leaping a hurdle and has a rider on its back 
1590,Two teammates are lifting a football player in a red and white uniform,teammates,mate
1590,Two teammates are lifting a football player in a red and white uniform,.,Two mate are lifting a football player in a red and white uniform 
1591,A football player in a red and white uniform is being lifted by two teammates,None,None
1592,A football player in a red and white uniform is being lifted by two teammates,None,None
1593,Football players in red and white are jumping and hugging each other,players,player
1593,Football players in red and white are jumping and hugging each other,.,Football player in red and white are jumping and hugging each other 
1594,A white woman is standing on a woman dressed in blue on a stage,woman,fair_sex
1594,A white woman is standing on a woman dressed in blue on a stage,.,A white fair_sex is standing on a woman dressed in blue on a stage 
1595,A woman in a white dress and a woman in a blue dress are standing on a stage,woman,fair_sex
1595,A woman in a white dress and a woman in a blue dress are standing on a stage,.,A fair_sex in a white dress and a woman in a blue dress are standing on a stage 
1596,Two old ladies are wearing worn dresses at home,ladies,lady
1596,Two old ladies are wearing worn dresses at home,.,Two old lady are wearing worn dresses at home 
1597,A woman in a white dress and a woman in a blue dress are standing on a stage,woman,fair_sex
1597,A woman in a white dress and a woman in a blue dress are standing on a stage,.,A fair_sex in a white dress and a woman in a blue dress are standing on a stage 
1598,Two women with folded arms, who are young, are looking at the screen,women,woman
1598,Two women with folded arms, who are young, are looking at the screen,.,Two woman with folded arms , who are young , are looking at the screen 
1599,Two women with black hair are standing in front of a plywood wall,women,woman
1599,Two women with black hair are standing in front of a plywood wall,.,Two woman with black hair are standing in front of a plywood wall 
1600,There is no classroom full of students looking in the same direction inside a bamboo structure,None,None
1601,Some students in uniforms are listening attentively at the front of the class,students,student
1601,Some students in uniforms are listening attentively at the front of the class,.,Some student in uniforms are listening attentively at the front of the class 
1602,Three boys are jumping off a platform,boys,boy
1602,Three boys are jumping off a platform,.,Three boy are jumping off a platform 
1603,A group of kids is staring at a colorful structure,group,grouping
1603,A group of kids is staring at a colorful structure,.,A grouping of kids is staring at a colorful structure 
1604,A group of kids is playing on a colorful structure,group,grouping
1604,A group of kids is playing on a colorful structure,.,A grouping of kids is playing on a colorful structure 
1605,A group of kids is staring at a colorful structure,group,grouping
1605,A group of kids is staring at a colorful structure,.,A grouping of kids is staring at a colorful structure 
1606,A group of people is sitting on both sides of a red stone structure,group,grouping
1606,A group of people is sitting on both sides of a red stone structure,.,A grouping of people is sitting on both sides of a red stone structure 
1607,A group of people is sitting on both sides of a red stone structure,group,grouping
1607,A group of people is sitting on both sides of a red stone structure,.,A grouping of people is sitting on both sides of a red stone structure 
1608,A group of people is sitting on both sides of a red stone structure,group,grouping
1608,A group of people is sitting on both sides of a red stone structure,.,A grouping of people is sitting on both sides of a red stone structure 
1609,A child, who is small, is outdoors climbing steps outdoors in an area full of grass,child,kid
1609,A child, who is small, is outdoors climbing steps outdoors in an area full of grass,.,A kid , who is small , is outdoors climbing steps outdoors in an area full of grass 
1610,A black bird is sitting on a dead tree,bird,dame
1610,A black bird is sitting on a dead tree,.,A black dame is sitting on a dead tree 
1611,A dead bird is near a black man sitting on a tree,bird,dame
1611,A dead bird is near a black man sitting on a tree,.,A dead dame is near a black man sitting on a tree 
1612,The black bird is not sitting in a leafless tree,bird,dame
1612,The black bird is not sitting in a leafless tree,.,The black dame is not sitting in a leafless tree 
1613,A child is making a snow ball,child,kid
1613,A child is making a snow ball,.,A kid is making a snow ball 
1614,A child is making a snow ball,child,kid
1614,A child is making a snow ball,.,A kid is making a snow ball 
1615,Three people are standing by a bench under some palm trees,people,mass
1615,Three people are standing by a bench under some palm trees,.,Three mass are standing by a bench under some palm trees 
1616,The people are sitting on a bench in front of a restaurant,people,mass
1616,The people are sitting on a bench in front of a restaurant,.,The mass are sitting on a bench in front of a restaurant 
1617,A few people are sitting on a bench under some palm trees,people,mass
1617,A few people are sitting on a bench under some palm trees,.,A few mass are sitting on a bench under some palm trees 
1618,Two people in two chairs are talking,people,mass
1618,Two people in two chairs are talking,.,Two mass in two chairs are talking 
1619,Two people are sitting in lawn chairs and are reading books,people,mass
1619,Two people are sitting in lawn chairs and are reading books,.,Two mass are sitting in lawn chairs and are reading books 
1620,There is no one sitting in lawn chairs and reading books,None,None
1621,A big brown dog and a small grey dog are standing on a rocky surface,dog,hound
1621,A big brown dog and a small grey dog are standing on a rocky surface,.,A big brown hound and a small grey dog are standing on a rocky surface 
1622,The back of a small black dog is being sniffed by the brown dog,None,None
1623,The brown dog is not sniffing the back of a small black dog,dog,hound
1623,The brown dog is not sniffing the back of a small black dog,.,The brown hound is not sniffing the back of a small black dog 
1624,A large brown dog and a small grey dog are standing on a rocky surface,dog,hound
1624,A large brown dog and a small grey dog are standing on a rocky surface,.,A large brown hound and a small grey dog are standing on a rocky surface 
1625,Three boys are rocking the walk along the river,boys,boy
1625,Three boys are rocking the walk along the river,.,Three boy are rocking the walk along the river 
1626,The man in brown colored shorts is walking on the rocks beside a river,man,human_being
1626,The man in brown colored shorts is walking on the rocks beside a river,.,The human_being in brown colored shorts is walking on the rocks beside a river 
1627,Three boys are walking on rocks along a river,boys,boy
1627,Three boys are walking on rocks along a river,.,Three boy are walking on rocks along a river 
1628,Three boys are carefully walking on rocks along a river,boys,boy
1628,Three boys are carefully walking on rocks along a river,.,Three boy are carefully walking on rocks along a river 
1629,Three boys are resting on rocks along a river,boys,boy
1629,Three boys are resting on rocks along a river,.,Three boy are resting on rocks along a river 
1630,Three boys are rocking the walk along the river,boys,boy
1630,Three boys are rocking the walk along the river,.,Three boy are rocking the walk along the river 
1631,The men in brown shorts are walking on the rocks beside a river,men,man
1631,The men in brown shorts are walking on the rocks beside a river,.,The man in brown shorts are walking on the rocks beside a river 
1632,A black dog in the snow is jumping onto the ground and missing a stick,dog,hound
1632,A black dog in the snow is jumping onto the ground and missing a stick,.,A black hound in the snow is jumping onto the ground and missing a stick 
1633,A dog is jumping for a Frisbee in the snow,dog,hound
1633,A dog is jumping for a Frisbee in the snow,.,A hound is jumping for a Frisbee in the snow 
1634,A black dog in the snow is jumping off the ground and catching a stick,dog,hound
1634,A black dog in the snow is jumping off the ground and catching a stick,.,A black hound in the snow is jumping off the ground and catching a stick 
1635,A man is holding a mask in his raised hand,man,human_being
1635,A man is holding a mask in his raised hand,.,A human_being is holding a mask in his raised hand 
1636,A man dressed in black is wearing an elaborate black mask,man,human_being
1636,A man dressed in black is wearing an elaborate black mask,.,A human_being dressed in black is wearing an elaborate black mask 
1637,Two children are crouching under some metal bars,children,child
1637,Two children are crouching under some metal bars,.,Two child are crouching under some metal bars 
1638,Two children are crouching under some metal bars,children,child
1638,Two children are crouching under some metal bars,.,Two child are crouching under some metal bars 
1639,A man is naked and is lying in the field,man,human_being
1639,A man is naked and is lying in the field,.,A human_being is naked and is lying in the field 
1640,The black player is making the white player a play near the end of a purple field,player,musician
1640,The black player is making the white player a play near the end of a purple field,.,The black musician is making the white player a play near the end of a purple field 
1641,One person is riding a bicycle in the sand beside the ocean,person,individual
1641,One person is riding a bicycle in the sand beside the ocean,.,One individual is riding a bicycle in the sand beside the ocean 
1642,A large duck is flying over a rocky stream,duck,duck's_egg
1642,A large duck is flying over a rocky stream,.,A large duck's_egg is flying over a rocky stream 
1643,A seabird is flying over some rocks,seabird,sea_bird
1643,A seabird is flying over some rocks,.,A sea_bird is flying over some rocks 
1644,The kids are chasing each other in the sand,kids,child
1644,The kids are chasing each other in the sand,.,The child are chasing each other in the sand 
1645,A father is pushing his daughter on a go-kart and another girl is watching,father,Church_Father
1645,A father is pushing his daughter on a go-kart and another girl is watching,.,A Church_Father is pushing his daughter on a go - kart and another girl is watching 
1646,A father is pulling his daughter on a go-kart and another girl is looking away,father,Church_Father
1646,A father is pulling his daughter on a go-kart and another girl is looking away,.,A Church_Father is pulling his daughter on a go - kart and another girl is looking away 
1647,A father is pushing his daughter on a go-kart and another girl is watching,father,Church_Father
1647,A father is pushing his daughter on a go-kart and another girl is watching,.,A Church_Father is pushing his daughter on a go - kart and another girl is watching 
1648,A dog is running uphill,dog,hound
1648,A dog is running uphill,.,A hound is running uphill 
1649,A golden dog is running through a field of tall grass,dog,hound
1649,A golden dog is running through a field of tall grass,.,A golden hound is running through a field of tall grass 
1650,A golden dog is sitting in a field of tall grass,dog,hound
1650,A golden dog is sitting in a field of tall grass,.,A golden hound is sitting in a field of tall grass 
1651,A brown dog is running through tall green grass,dog,hound
1651,A brown dog is running through tall green grass,.,A brown hound is running through tall green grass 
1652,Two dogs are playing on the beach,dogs,dog
1652,Two dogs are playing on the beach,.,Two dog are playing on the beach 
1653,Two dogs are resting on the beach,dogs,dog
1653,Two dogs are resting on the beach,.,Two dog are resting on the beach 
1654,The large brown dog is running outside in the dirt,dog,hound
1654,The large brown dog is running outside in the dirt,.,The large brown hound is running outside in the dirt 
1655,The large brown dog is running outdoors in the dirt,dog,hound
1655,The large brown dog is running outdoors in the dirt,.,The large brown hound is running outdoors in the dirt 
1656,The large brown dog is running outside in the dirt,dog,hound
1656,The large brown dog is running outside in the dirt,.,The large brown hound is running outside in the dirt 
1657,A girl is jumping off a rock and another is standing on it,girl,daughter
1657,A girl is jumping off a rock and another is standing on it,.,A daughter is jumping off a rock and another is standing on it 
1658,A young girl in a winter coat is jumping off a boulder into the sand at a beach,girl,daughter
1658,A young girl in a winter coat is jumping off a boulder into the sand at a beach,.,A young daughter in a winter coat is jumping off a boulder into the sand at a beach 
1659,A young man with brown hair and shades is sitting in front of some cans of soda,man,human_being
1659,A young man with brown hair and shades is sitting in front of some cans of soda,.,A young human_being with brown hair and shades is sitting in front of some cans of soda 
1660,The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks,man,human_being
1660,The man with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks,.,The human_being with brown hair is wearing sunglasses and is sitting at a table with cans of soda and other drinks 
1661,A woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion,woman,fair_sex
1661,A woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion,.,A fair_sex wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion 
1662,A woman wearing casual clothing is keeping her mouth closed and is near other people dressed differently,woman,fair_sex
1662,A woman wearing casual clothing is keeping her mouth closed and is near other people dressed differently,.,A fair_sex wearing casual clothing is keeping her mouth closed and is near other people dressed differently 
1663,A woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion,woman,fair_sex
1663,A woman wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion,.,A fair_sex wearing a blue and white uniform with a white and blue hat is keeping her mouth open and is near others dressed in the same fashion 
1664,A bearded man is sitting by a shopping cart and is dropping a cardboard sign,man,human_being
1664,A bearded man is sitting by a shopping cart and is dropping a cardboard sign,.,A bearded human_being is sitting by a shopping cart and is dropping a cardboard sign 
1665,One bearded man is standing by a shopping cart and is holding a cardboard sign,man,human_being
1665,One bearded man is standing by a shopping cart and is holding a cardboard sign,.,One bearded human_being is standing by a shopping cart and is holding a cardboard sign 
1666,A man is holding a sign and is seeking money,man,human_being
1666,A man is holding a sign and is seeking money,.,A human_being is holding a sign and is seeking money 
1667,A man is uninterestedly holding a sign and is seeking money,man,human_being
1667,A man is uninterestedly holding a sign and is seeking money,.,A human_being is uninterestedly holding a sign and is seeking money 
1668,There is no man holding a sign and seeking money,None,None
1669,A bearded man is standing by a shopping cart and is holding a cardboard sign,man,human_being
1669,A bearded man is standing by a shopping cart and is holding a cardboard sign,.,A bearded human_being is standing by a shopping cart and is holding a cardboard sign 
1670,A snowboarder is doing a flip over a mound of snow,snowboarder,
1670,A snowboarder is doing a flip over a mound of snow,.,A snowboarder is doing a flip over a mound of snow
1671,A snowboarder is doing a flip over a mound of snow,snowboarder,
1671,A snowboarder is doing a flip over a mound of snow,.,A snowboarder is doing a flip over a mound of snow
1672,Two men, a woman, and two young boys are standing aimlessly in front of a large gathering of people outside a building,men,man
1672,Two men, a woman, and two young boys are standing aimlessly in front of a large gathering of people outside a building,.,Two man , a woman , and two young boys are standing aimlessly in front of a large gathering of people outside a building 
1673,A crowd, which is large, in warm clothing is posing for a camera,crowd,bunch
1673,A crowd, which is large, in warm clothing is posing for a camera,.,A bunch , which is large , in warm clothing is posing for a camera 
1674,A large crowd in warm clothing is posing for a camera,crowd,bunch
1674,A large crowd in warm clothing is posing for a camera,.,A large bunch in warm clothing is posing for a camera 
1675,A blonde in green is sitting by a swinging boy,blonde,blond
1675,A blonde in green is sitting by a swinging boy,.,A blond in green is sitting by a swinging boy 
1676,Four people are performing music outdoors,people,mass
1676,Four people are performing music outdoors,.,Four mass are performing music outdoors 
1677,Four people are performing music outdoors,people,mass
1677,Four people are performing music outdoors,.,Four mass are performing music outdoors 
1678,A man in a white hat is playing guitar on stage,man,human_being
